lot_id,product_id,plant_id,supplier_id,batch_number,manufacture_date,target_release_date,current_release_status,is_high_priority,issue_flags
LOT-10001,PRD-125,PLT-001,SUP-513,BN-90001,2026-04-11,2026-05-09,READY,False,
LOT-10002,PRD-106,PLT-005,SUP-530,BN-90002,2026-03-01,2026-03-15,READY,True,
LOT-10003,PRD-111,PLT-004,SUP-515,BN-90003,2026-04-12,2026-05-10,READY,False,
LOT-10004,PRD-124,PLT-003,SUP-501,BN-90004,2026-04-22,2026-05-06,REVIEW,False,
LOT-10005,PRD-108,PLT-003,SUP-503,BN-90005,2026-04-12,2026-05-17,READY,False,
LOT-10006,PRD-120,PLT-004,SUP-522,BN-90006,2026-03-22,2026-04-26,READY,True,
LOT-10007,PRD-115,PLT-003,SUP-533,BN-90007,2026-02-04,2026-02-18,READY,False,
LOT-10008,PRD-104,PLT-003,SUP-503,BN-90008,2026-04-08,2026-04-22,REVIEW,True,
LOT-10009,PRD-120,PLT-005,SUP-525,BN-90009,2026-01-21,2026-02-25,REVIEW,False,
LOT-10010,PRD-108,PLT-004,SUP-513,BN-90010,2026-03-13,2026-04-17,HOLD,False,
LOT-10011,PRD-109,PLT-003,SUP-521,BN-90011,2026-04-11,2026-04-21,REVIEW,True,
LOT-10012,PRD-113,PLT-003,SUP-515,BN-90012,2026-03-31,2026-04-10,REVIEW,False,
LOT-10013,PRD-120,PLT-004,SUP-502,BN-90013,2026-01-20,2026-02-24,READY,True,
LOT-10014,PRD-102,PLT-003,SUP-521,BN-90014,2026-03-16,2026-03-26,READY,False,
LOT-10015,PRD-104,PLT-002,SUP-525,BN-90015,2026-03-26,2026-04-09,READY,True,
LOT-10016,PRD-102,PLT-004,SUP-538,BN-90016,2026-01-14,2026-01-24,REVIEW,False,
LOT-10017,PRD-119,PLT-002,SUP-531,BN-90017,2026-03-15,2026-03-25,READY,False,
LOT-10018,PRD-122,PLT-004,SUP-539,BN-90018,2026-03-06,2026-04-10,READY,False,
LOT-10019,PRD-117,PLT-004,SUP-525,BN-90019,2026-01-17,2026-02-21,READY,False,
LOT-10020,PRD-117,PLT-005,SUP-512,BN-90020,2026-03-05,2026-04-09,HOLD,True,
LOT-10021,PRD-124,PLT-004,SUP-536,BN-90021,2026-01-17,2026-01-31,READY,False,
LOT-10022,PRD-105,PLT-005,SUP-539,BN-90022,2026-01-29,2026-02-12,READY,False,
LOT-10023,PRD-117,PLT-005,SUP-512,BN-90023,2026-02-09,2026-03-16,REVIEW,False,
LOT-10024,PRD-104,PLT-002,SUP-539,BN-90024,2026-04-18,2026-05-02,HOLD,False,
LOT-10025,PRD-103,PLT-003,SUP-520,BN-90025,2026-03-15,2026-04-05,HOLD,False,
LOT-10026,PRD-111,PLT-003,SUP-527,BN-90026,2026-02-26,2026-03-26,REVIEW,True,
LOT-10027,PRD-117,PLT-003,SUP-516,BN-90027,2026-01-26,2026-03-02,READY,False,
LOT-10028,PRD-111,PLT-004,SUP-529,BN-90028,2026-02-10,2026-03-10,READY,False,
LOT-10029,PRD-121,PLT-002,SUP-511,BN-90029,2026-04-06,2026-04-20,REVIEW,True,
LOT-10030,PRD-109,PLT-003,SUP-505,BN-90030,2026-03-20,2026-03-30,REVIEW,True,
LOT-10031,PRD-113,PLT-005,SUP-511,BN-90031,2026-01-11,2026-01-21,REVIEW,False,
LOT-10032,PRD-120,PLT-004,SUP-506,BN-90032,2026-01-12,2026-02-16,BLOCKED,True,
LOT-10033,PRD-109,PLT-001,SUP-520,BN-90033,2026-03-22,2026-04-01,READY,False,
LOT-10034,PRD-117,PLT-003,SUP-538,BN-90034,2026-05-05,2026-06-09,HOLD,False,
LOT-10035,PRD-123,PLT-002,SUP-512,BN-90035,2026-03-25,2026-04-22,READY,False,
LOT-10036,PRD-122,PLT-004,SUP-536,BN-90036,2026-02-14,2026-03-21,BLOCKED,True,
LOT-10037,PRD-113,PLT-005,SUP-539,BN-90037,2026-02-07,2026-02-17,READY,False,
LOT-10038,PRD-113,PLT-003,SUP-523,BN-90038,2026-02-14,2026-02-24,BLOCKED,False,
LOT-10039,PRD-101,PLT-004,SUP-528,BN-90039,2026-03-25,2026-04-04,BLOCKED,False,
LOT-10040,PRD-104,PLT-002,SUP-505,BN-90040,2026-02-01,2026-02-15,REVIEW,True,
LOT-10041,PRD-114,PLT-005,SUP-540,BN-90041,2026-04-27,2026-05-07,READY,False,
LOT-10042,PRD-118,PLT-002,SUP-514,BN-90042,2026-04-05,2026-05-10,READY,False,
LOT-10043,PRD-124,PLT-004,SUP-537,BN-90043,2026-01-06,2026-01-20,REVIEW,False,
LOT-10044,PRD-124,PLT-005,SUP-510,BN-90044,2026-05-05,2026-05-19,HOLD,False,
LOT-10045,PRD-105,PLT-005,SUP-523,BN-90045,2026-03-16,2026-03-30,READY,False,
LOT-10046,PRD-109,PLT-003,SUP-524,BN-90046,2026-02-17,2026-02-27,READY,False,
LOT-10047,PRD-111,PLT-004,SUP-508,BN-90047,2026-03-08,2026-04-05,READY,False,
LOT-10048,PRD-103,PLT-003,SUP-525,BN-90048,2026-03-27,2026-04-17,READY,False,
LOT-10049,PRD-101,PLT-004,SUP-503,BN-90049,2026-04-13,2026-04-23,READY,False,
LOT-10050,PRD-108,PLT-004,SUP-516,BN-90050,2026-03-02,2026-04-06,REVIEW,False,
LOT-10051,PRD-101,PLT-004,SUP-512,BN-90051,2026-01-14,2026-01-24,BLOCKED,False,
LOT-10052,PRD-108,PLT-003,SUP-507,BN-90052,2026-01-09,2026-02-13,HOLD,False,
LOT-10053,PRD-108,PLT-003,SUP-531,BN-90053,2026-01-21,2026-02-25,READY,False,
LOT-10054,PRD-102,PLT-004,SUP-538,BN-90054,2026-01-31,2026-02-10,REVIEW,False,
LOT-10055,PRD-114,PLT-005,SUP-503,BN-90055,2026-04-28,2026-05-08,HOLD,False,
LOT-10056,PRD-108,PLT-003,SUP-539,BN-90056,2026-04-25,2026-05-30,READY,False,
LOT-10057,PRD-109,PLT-001,SUP-520,BN-90057,2026-01-08,2026-01-18,READY,False,
LOT-10058,PRD-117,PLT-004,SUP-535,BN-90058,2026-04-25,2026-05-30,REVIEW,False,
LOT-10059,PRD-108,PLT-004,SUP-518,BN-90059,2026-01-18,2026-02-22,READY,True,
LOT-10060,PRD-118,PLT-005,SUP-537,BN-90060,2026-01-30,2026-03-06,HOLD,False,
LOT-10061,PRD-113,PLT-003,SUP-515,BN-90061,2026-02-02,2026-02-12,READY,True,
LOT-10062,PRD-114,PLT-004,SUP-536,BN-90062,2026-04-25,2026-05-05,READY,False,
LOT-10063,PRD-114,PLT-005,SUP-518,BN-90063,2026-03-11,2026-03-21,READY,False,
LOT-10064,PRD-120,PLT-005,SUP-521,BN-90064,2026-05-05,2026-06-09,READY,False,
LOT-10065,PRD-111,PLT-004,SUP-515,BN-90065,2026-03-20,2026-04-17,BLOCKED,False,
LOT-10066,PRD-105,PLT-005,SUP-526,BN-90066,2026-03-01,2026-03-15,READY,False,
LOT-10067,PRD-117,PLT-005,SUP-522,BN-90067,2026-05-10,2026-06-14,REVIEW,False,
LOT-10068,PRD-122,PLT-004,SUP-514,BN-90068,2026-02-06,2026-03-13,READY,False,
LOT-10069,PRD-120,PLT-004,SUP-515,BN-90069,2026-04-02,2026-05-07,REVIEW,False,
LOT-10070,PRD-124,PLT-005,SUP-515,BN-90070,2026-02-20,2026-03-06,READY,False,
LOT-10071,PRD-114,PLT-004,SUP-529,BN-90071,2026-02-14,2026-02-24,REVIEW,True,
LOT-10072,PRD-113,PLT-003,SUP-501,BN-90072,2026-02-13,2026-02-23,REVIEW,False,
LOT-10073,PRD-113,PLT-002,SUP-525,BN-90073,2026-01-21,2026-01-31,READY,False,
LOT-10074,PRD-116,PLT-002,SUP-517,BN-90074,2026-04-10,2026-04-24,HOLD,False,
LOT-10075,PRD-113,PLT-003,SUP-523,BN-90075,2026-03-16,2026-03-26,HOLD,False,
LOT-10076,PRD-109,PLT-003,SUP-523,BN-90076,2026-04-15,2026-04-25,REVIEW,False,
