training_id,change_id,role,plant_id,product_id,completion_status,due_date,is_overdue,release_impact
TRN-50001,CHG-40023,QA Specialist,PLT-002,PRD-109,Completed,2026-01-17,False,Pending QA Review
TRN-50002,CHG-40023,Manufacturing Lead,PLT-002,PRD-109,Completed,2026-01-17,False,Pending QA Review
TRN-50003,CHG-40021,Operator,PLT-002,PRD-107,Completed,2026-03-02,False,Pending QA Review
TRN-50004,CHG-40015,Supervisor,PLT-002,PRD-112,Completed,2026-05-26,False,Pending QA Review
TRN-50005,CHG-40008,Technician,PLT-005,PRD-114,Overdue,2026-01-15,True,Release Blocked
TRN-50006,CHG-40004,QA Specialist,PLT-001,PRD-120,Completed,2026-02-20,False,Pending QA Review
TRN-50007,CHG-40015,QA Specialist,PLT-002,PRD-112,Incomplete,2026-05-12,True,Release Blocked
TRN-50008,CHG-40003,Operator,PLT-003,PRD-117,Incomplete,2026-02-14,True,Release Blocked
TRN-50009,CHG-40012,Technician,PLT-002,PRD-119,Completed,2026-05-08,False,
TRN-50010,CHG-40030,QA Specialist,PLT-003,PRD-115,Incomplete,2026-03-19,False,Pending QA Review
TRN-50011,CHG-40011,Supervisor,PLT-002,PRD-113,Completed,2026-01-20,False,Pending QA Review
TRN-50012,CHG-40016,Validation Engineer,PLT-004,PRD-101,Completed,2026-03-30,False,Pending QA Review
TRN-50013,CHG-40010,Validation Engineer,PLT-002,PRD-121,Incomplete,2026-02-06,False,
TRN-50014,CHG-40002,Validation Engineer,PLT-003,PRD-104,Pending,2026-02-17,False,Release Hold
TRN-50015,CHG-40003,Validation Engineer,PLT-003,PRD-117,Incomplete,2026-02-05,True,Release Blocked
TRN-50016,CHG-40024,Validation Engineer,PLT-004,PRD-122,Completed,2026-05-25,False,
TRN-50017,CHG-40025,QA Specialist,PLT-001,PRD-125,Incomplete,2026-02-07,True,Release Blocked
TRN-50018,CHG-40012,Supervisor,PLT-002,PRD-119,Completed,2026-05-08,False,
TRN-50019,CHG-40022,Validation Engineer,PLT-001,PRD-109,Completed,2026-01-13,False,Pending QA Review
TRN-50020,CHG-40005,Validation Engineer,PLT-004,PRD-118,Completed,2026-04-16,False,Pending QA Review
TRN-50021,CHG-40017,Validation Engineer,PLT-005,PRD-117,Incomplete,2026-05-23,False,Pending QA Review
TRN-50022,CHG-40011,Operator,PLT-002,PRD-113,Incomplete,2026-01-13,True,Release Blocked
TRN-50023,CHG-40025,QA Specialist,PLT-001,PRD-125,Incomplete,2026-02-07,True,Release Blocked
TRN-50024,CHG-40025,Operator,PLT-001,PRD-125,Incomplete,2026-02-14,True,Release Blocked
TRN-50025,CHG-40025,Technician,PLT-001,PRD-125,Completed,2026-01-22,False,Release Hold
TRN-50026,CHG-40023,Manufacturing Lead,PLT-002,PRD-109,Pending,2026-01-17,False,Pending QA Review
